student_id,name,age_at_enrollment,gender,marital_status,major_field,attendance,displaced,international,special_needs,admission_pathway,application_order,admission_grade,previous_education_level,previous_qualification_grade,tuition_fees_up_to_date,scholarship_holder,debtor,sem1_enrolled,sem1_approved,sem1_grade,sem1_evaluations,sem1_without_evaluations,sem1_credited,sem2_enrolled,sem2_approved,sem2_grade,sem2_evaluations,sem2_without_evaluations,sem2_credited,mother_education_level,father_education_level,mother_occupation_group,father_occupation_group
S001,,26,0,1,예술·디자인,1,1,0,0,일반전형,0,131.0,Secondary,116.2,1,0,0,5,0,12.1,3,3,0,4,1,14.8,3,2,0,중등교육 이하,중등교육 이하,기술·생산,전문·관리직
S002,,33,0,1,보건,1,1,0,1,고등교육 이수자 전형,3,107.1,Bachelor,110.4,1,1,0,5,5,15.8,5,0,0,5,3,15.8,6,1,0,중등교육 이하,중등교육 이하,무직·기타,전문·관리직
S003,,21,1,1,공학·IT,1,0,0,0,성인학습자 전형,0,129.7,Secondary,129.9,1,0,0,7,4,14.2,7,1,0,8,3,11.8,8,1,0,중등교육 이하,중등교육 이하,사무·서비스,기술·생산
S004,,23,0,1,예술·디자인,1,0,0,0,일반전형,1,106.6,Secondary,149.6,1,0,0,6,4,14.5,5,1,0,5,4,16.2,7,0,1,중등교육 이하,중등교육 이하,사무·서비스,사무·서비스
S005,,30,0,1,보건,1,0,0,1,일반전형,0,127.9,Secondary,127.4,1,0,0,7,2,9.5,7,2,0,6,3,14.9,6,2,0,대학,대학,사무·서비스,농림
S006,,22,1,1,자연·농생명,1,1,0,0,성인학습자 전형,1,141.3,Secondary,123.1,0,0,0,6,3,13.1,5,1,0,0,0,0.0,0,0,0,중등교육 이하,중등교육 이하,사무·서비스,전문·관리직
S007,,22,1,2,보건,1,1,0,0,일반전형,3,127.0,Vocational,118.9,1,0,0,6,0,12.3,2,4,0,7,0,9.3,5,4,0,미상·기타,대학,사무·서비스,기술·생산
S008,,21,0,1,보건,1,1,0,0,특별전형,5,133.3,Secondary,139.8,0,1,0,6,5,15.3,8,0,0,5,2,15.1,6,1,0,대학원,중등교육 이하,기술·생산,농림
S009,,29,0,2,자연·농생명,0,0,0,0,일반전형,1,143.0,Secondary,136.3,1,0,0,6,4,17.1,6,0,1,7,3,15.5,9,0,0,중등교육 이하,미상·기타,사무·서비스,전문·관리직
S010,,18,0,1,교육,1,1,0,0,편입·전과,1,133.5,Secondary,110.4,1,0,0,8,6,16.0,9,1,0,7,7,15.3,8,0,1,중등교육 이하,중등교육 이하,전문·관리직,전문·관리직
S011,,21,1,2,공학·IT,1,1,0,0,외국인·국제학생 전형,0,129.7,Secondary,116.1,1,1,0,6,3,13.2,7,1,0,7,5,17.8,7,1,0,고등학교,고등학교,사무·서비스,사무·서비스
S012,,20,0,1,자연·농생명,1,0,0,0,일반전형,0,130.1,Secondary,151.8,0,0,0,7,3,13.0,6,1,0,6,3,15.2,6,1,0,중등교육 이하,고등학교,사무·서비스,기술·생산
S013,,22,0,1,자연·농생명,1,1,0,0,일반전형,0,108.5,Secondary,129.5,1,0,0,8,3,12.7,5,3,0,9,2,12.4,8,2,0,중등교육 이하,대학,기술·생산,농림
S014,,33,1,1,인문·사회,0,1,0,0,일반전형,1,142.4,Secondary,154.5,1,0,0,8,3,13.9,9,0,0,8,6,14.2,9,0,1,중등교육 이하,중등교육 이하,무직·기타,기술·생산
S015,,20,0,2,자연·농생명,1,0,0,0,일반전형,0,128.4,Vocational,141.9,0,0,0,8,5,14.4,10,0,1,7,3,13.9,5,2,0,중등교육 이하,중등교육 이하,사무·서비스,기술·생산
S016,,19,1,1,예술·디자인,1,0,1,0,편입·전과,0,135.4,Secondary,124.2,1,1,0,7,6,13.0,8,1,0,6,4,12.7,5,1,0,고등학교,중등교육 이하,전문·관리직,기술·생산
S017,,22,0,1,인문·사회,1,0,0,0,일반전형,0,113.3,Secondary,129.8,0,0,0,8,2,9.4,5,3,0,7,4,12.8,7,1,0,고등학교,중등교육 이하,기술·생산,기술·생산
S018,,19,0,1,교육,1,0,0,0,성인학습자 전형,0,132.3,Secondary,161.1,1,0,0,6,4,12.9,7,0,0,7,6,15.7,9,0,0,중등교육 이하,중등교육 이하,사무·서비스,기술·생산
S019,,23,0,1,교육,0,0,0,0,일반전형,0,145.1,Secondary,144.8,1,1,0,7,7,13.0,8,0,0,6,5,15.7,6,1,0,중등교육 이하,중등교육 이하,무직·기타,사무·서비스
S020,,18,1,2,보건,1,1,0,0,일반전형,3,140.9,Secondary,139.6,1,0,0,5,2,11.7,7,0,1,6,1,11.3,3,3,0,대학,중등교육 이하,기술·생산,기술·생산
S021,,23,0,4,보건,1,0,0,0,편입·전과,0,140.5,Secondary,131.0,1,0,0,7,4,16.8,9,0,1,7,5,14.5,8,0,0,중등교육 이하,고등학교,전문·관리직,전문·관리직
S022,,19,1,1,경영,1,0,0,0,일반전형,1,143.8,Secondary,120.0,1,1,0,6,4,16.1,7,1,0,5,3,14.3,5,2,0,고등학교,고등학교,전문·관리직,무직·기타
